Scene,Participant,variable,value
3D Ghost,P06,Difficulty focusing,0.0
3D Ghost,P07,Difficulty focusing,1.0
3D Ghost,P08,Difficulty focusing,1.0
3D Ghost,P09,Difficulty focusing,0.0
3D Ghost,P10,Difficulty focusing,0.0
3D Ghost,P11,Difficulty focusing,0.0
3D Ghost,P12,Difficulty focusing,0.0
2D Label,P01,Increased salivation,0.0
2D Label,P02,Increased salivation,0.0
2D Label,P03,Increased salivation,0.0
2D Label,P04,Increased salivation,0.0
2D Label,P05,Increased salivation,0.0
2D Label,P06,Increased salivation,0.0
2D Label,P07,Increased salivation,0.0
2D Label,P08,Increased salivation,0.0
2D Label,P10,Increased salivation,0.0
2D Label,P11,Increased salivation,0.0
2D Label,P12,Increased salivation,0.0
3D Ghost,P02,Increased salivation,0.0
3D Ghost,P03,Increased salivation,0.0
3D Ghost,P04,Increased salivation,0.0
3D Ghost,P05,Increased salivation,0.0
3D Ghost,P06,Increased salivation,0.0
3D Ghost,P07,Increased salivation,0.0
3D Ghost,P08,Increased salivation,0.0
3D Ghost,P09,Increased salivation,0.0
3D Ghost,P10,Increased salivation,0.0
3D Ghost,P11,Increased salivation,0.0
3D Ghost,P12,Increased salivation,0.0
2D Label,P01,Sweating,0.0
2D Label,P02,Sweating,0.0
2D Label,P03,Sweating,0.0
2D Label,P04,Sweating,0.0
2D Label,P05,Sweating,0.0
2D Label,P06,Sweating,0.0
2D Label,P07,Sweating,0.0
2D Label,P08,Sweating,0.0
2D Label,P10,Sweating,0.0
2D Label,P11,Sweating,1.0
2D Label,P12,Sweating,0.0
3D Ghost,P02,Sweating,0.0
3D Ghost,P03,Sweating,0.0
3D Ghost,P04,Sweating,0.0
3D Ghost,P05,Sweating,0.0
3D Ghost,P06,Sweating,0.0
3D Ghost,P07,Sweating,0.0
3D Ghost,P08,Sweating,0.0
3D Ghost,P09,Sweating,0.0
3D Ghost,P10,Sweating,0.0
3D Ghost,P11,Sweating,0.0
3D Ghost,P12,Sweating,0.0
2D Label,P01,Nausea Level,0.0
2D Label,P02,Nausea Level,0.0
2D Label,P03,Nausea Level,0.0
2D Label,P04,Nausea Level,0.0
2D Label,P05,Nausea Level,0.0
2D Label,P06,Nausea Level,0.0
2D Label,P07,Nausea Level,0.0
2D Label,P08,Nausea Level,1.0
2D Label,P10,Nausea Level,0.0
2D Label,P11,Nausea Level,1.0
2D Label,P12,Nausea Level,0.0
3D Ghost,P02,Nausea Level,0.0
3D Ghost,P03,Nausea Level,0.0
3D Ghost,P04,Nausea Level,0.0
3D Ghost,P05,Nausea Level,0.0
3D Ghost,P06,Nausea Level,0.0
3D Ghost,P07,Nausea Level,0.0
3D Ghost,P08,Nausea Level,0.0
3D Ghost,P09,Nausea Level,0.0
3D Ghost,P10,Nausea Level,0.0
3D Ghost,P11,Nausea Level,1.0
3D Ghost,P12,Nausea Level,0.0
2D Label,P01,Difficulty concentrating,0.0
2D Label,P02,Difficulty concentrating,0.0
2D Label,P03,Difficulty concentrating,0.0
2D Label,P04,Difficulty concentrating,1.0
2D Label,P05,Difficulty concentrating,1.0
2D Label,P06,Difficulty concentrating,0.0
2D Label,P07,Difficulty concentrating,2.0
2D Label,P08,Difficulty concentrating,0.0
2D Label,P10,Difficulty concentrating,0.0
2D Label,P11,Difficulty concentrating,0.0
2D Label,P12,Difficulty concentrating,0.0
3D Ghost,P02,Difficulty concentrating,0.0
3D Ghost,P03,Difficulty concentrating,1.0
3D Ghost,P04,Difficulty concentrating,0.0
3D Ghost,P05,Difficulty concentrating,0.0
3D Ghost,P06,Difficulty concentrating,1.0
3D Ghost,P07,Difficulty concentrating,0.0
3D Ghost,P08,Difficulty concentrating,0.0
3D Ghost,P09,Difficulty concentrating,0.0
3D Ghost,P10,Difficulty concentrating,0.0
3D Ghost,P11,Difficulty concentrating,0.0
3D Ghost,P12,Difficulty concentrating,0.0
2D Label,P01,Fullness of head,0.0
2D Label,P02,Fullness of head,1.0
2D Label,P03,Fullness of head,0.0
2D Label,P04,Fullness of head,0.0
2D Label,P05,Fullness of head,0.0
2D Label,P06,Fullness of head,0.0
2D Label,P07,Fullness of head,0.0
2D Label,P08,Fullness of head,0.0
2D Label,P10,Fullness of head,1.0
2D Label,P11,Fullness of head,0.0
2D Label,P12,Fullness of head,0.0
3D Ghost,P02,Fullness of head,0.0
3D Ghost,P03,Fullness of head,0.0
3D Ghost,P04,Fullness of head,0.0
3D Ghost,P05,Fullness of head,1.0
3D Ghost,P06,Fullness of head,0.0
3D Ghost,P07,Fullness of head,0.0
3D Ghost,P08,Fullness of head,0.0
3D Ghost,P09,Fullness of head,1.0
3D Ghost,P10,Fullness of head,0.0
3D Ghost,P11,Fullness of head,1.0
3D Ghost,P12,Fullness of head,0.0
2D Label,P01,Blurred vision,1.0
2D Label,P02,Blurred vision,1.0
2D Label,P03,Blurred vision,0.0
2D Label,P04,Blurred vision,1.0
2D Label,P05,Blurred vision,0.0
2D Label,P06,Blurred vision,2.0
2D Label,P07,Blurred vision,0.0
2D Label,P08,Blurred vision,2.0
2D Label,P10,Blurred vision,1.0
2D Label,P11,Blurred vision,1.0
2D Label,P12,Blurred vision,0.0
3D Ghost,P02,Blurred vision,0.0
3D Ghost,P03,Blurred vision,0.0
3D Ghost,P04,Blurred vision,0.0
3D Ghost,P05,Blurred vision,2.0
3D Ghost,P06,Blurred vision,0.0
3D Ghost,P07,Blurred vision,1.0
3D Ghost,P08,Blurred vision,1.0
3D Ghost,P09,Blurred vision,0.0
3D Ghost,P10,Blurred vision,2.0
3D Ghost,P11,Blurred vision,0.0
3D Ghost,P12,Blurred vision,0.0
2D Label,P01,Dizziness (eyes open),0.0
2D Label,P02,Dizziness (eyes open),0.0
2D Label,P03,Dizziness (eyes open),0.0
2D Label,P04,Dizziness (eyes open),0.0
2D Label,P05,Dizziness (eyes open),0.0
2D Label,P06,Dizziness (eyes open),1.0
2D Label,P07,Dizziness (eyes open),0.0
2D Label,P08,Dizziness (eyes open),0.0
2D Label,P10,Dizziness (eyes open),1.0
2D Label,P11,Dizziness (eyes open),1.0
2D Label,P12,Dizziness (eyes open),0.0
3D Ghost,P02,Dizziness (eyes open),0.0
3D Ghost,P03,Dizziness (eyes open),0.0
3D Ghost,P04,Dizziness (eyes open),0.0
3D Ghost,P05,Dizziness (eyes open),0.0
3D Ghost,P06,Dizziness (eyes open),0.0
3D Ghost,P07,Dizziness (eyes open),0.0
3D Ghost,P08,Dizziness (eyes open),0.0
3D Ghost,P09,Dizziness (eyes open),1.0
3D Ghost,P10,Dizziness (eyes open),0.0
3D Ghost,P11,Dizziness (eyes open),0.0
3D Ghost,P12,Dizziness (eyes open),0.0
2D Label,P01,Dizziness (eyes closed),0.0
2D Label,P02,Dizziness (eyes closed),0.0
2D Label,P03,Dizziness (eyes closed),0.0
2D Label,P04,Dizziness (eyes closed),0.0
2D Label,P05,Dizziness (eyes closed),0.0
2D Label,P06,Dizziness (eyes closed),1.0
2D Label,P07,Dizziness (eyes closed),0.0
2D Label,P08,Dizziness (eyes closed),0.0
2D Label,P10,Dizziness (eyes closed),1.0
2D Label,P11,Dizziness (eyes closed),1.0
2D Label,P12,Dizziness (eyes closed),0.0
3D Ghost,P02,Dizziness (eyes closed),0.0
3D Ghost,P03,Dizziness (eyes closed),0.0
3D Ghost,P04,Dizziness (eyes closed),0.0
3D Ghost,P05,Dizziness (eyes closed),0.0
3D Ghost,P06,Dizziness (eyes closed),0.0
